category_list, market , funding_total_usd ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Financial Services|Finance|Brokers|Software|, Financial Services , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1364700 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,64756757 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hardware + Software|, Hardware + Software , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Manufacturing|Solar|Clean Technology|, Clean Technology ,132000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Artificial Intelligence|Recycling|Clean Technology|, Clean Technology ,144800 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hardware + Software|, Hardware + Software ,196000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,2420000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Networking|Wireless|Software|, Software ,65684 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Media|, Social Media ,250000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,798000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,8788120 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Renewable Energies|, Renewable Energies ,4800000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Manufacturing|, Manufacturing , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,6000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Enterprise Software|, Enterprise Software ,32900000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Security|, Security ,20500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care ,10500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Creative Industries|Consumers|3D Technology|, Creative Industries ,100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Travel|, Travel ,500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,600000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Public Relations|Internet|Trading|Consumers|Sales and Marketing|Email|Advertising|, Public Relations ,209250 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Telecommunications|Cable|Networking|Software|, Software ,43000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,4839577 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,57600000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Games|, Games ,1015000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Computers|Mobile|, Computers ,39800000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2022502 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,3500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,50000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Security|, Security ,28765834 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Broadcasting|3D|Video Streaming|, Video Streaming ,6600000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,34473197 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|, Health and Wellness ,2089110 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|, Health and Wellness ,753753 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,4387500 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20274169 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Entertainment|Games|, Games , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Web CMS|Analytics|Health Care|, Analytics ,22500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Curated Web|, Curated Web ,414961 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,250000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|PaaS|Cloud Computing|Enterprise Software|, Cloud Computing ,1000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Small and Medium Businesses|Employment|All Students|Curated Web|, All Students ,12000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Internet|Maps|SEO|Semantic Search|Local|Social Media|Mobile|Search|Advertising|, Search ,7500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Public Transportation|, Public Transportation ,40000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care ,5269376 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|B2B|News|Curated Web|, B2B ,34623 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Events|Event Management|Marketplaces|, Events ,50000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Internet|, Internet ,1000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Travel|, Travel , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,92347081 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Cloud Data Services|Personal Data|mHealth|, mHealth ,30000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,4000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|, Health and Wellness ,384879 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Startups|Enterprise Software|, Startups ,1466387 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Medical|, Medical ,60000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Media|Biotechnology|, Media ,250000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|Services|Professional Services|Education|, Health Care ,37684819 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|iPhone|Wireless|Audio|Email|SMS|Twitter Applications|Facebook Applications|Social Network Media|Software|Databases|Mobile|, Software ,500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Analytics|Software|Financial Services|Startups|, Software , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Energy|, Clean Energy ,6523000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,39000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Cloud Computing|Marketing Automation|SaaS|, Marketing Automation , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Finance|iPad|iPod Touch|iPhone|Android|Mobile|Toys|Hardware + Software|, Finance ,36232214 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Location Based Services|Mobile|, Mobile ,736050 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Curated Web|, Curated Web ,20000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Semiconductors|, Semiconductors ,5000822 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,2000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|, Health and Wellness ,15000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hardware + Software|, Hardware + Software , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Telecommunications|B2B|Consumer Goods|Mobile Commerce|E-Commerce|, Telecommunications ,90000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Finance Technology|Crowdfunding|Peer-to-Peer|, Peer-to-Peer ,17400000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,2030000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Enterprises|Cloud Computing|Software|Databases|Developer APIs|Enterprise Software|, Enterprise Software ,3020000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,782625 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,21000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Marketplaces|SEO|Property Management|, Marketplaces ,40000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Web Tools|Consulting|Telecommunications|Networking|Software|, Consulting ,909150 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|Software|, Software ,8000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Networking|Telecommunications|Mobile|, Networking ,5000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|Mobile|, Software ,630000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Local|Real Time|Design|Marketplaces|Mobile|, Design ,2500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Restaurants|Mobile Payments|Software|, Mobile Payments ,14403910 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,48501 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|iPad|iPhone|Coupons|Consumer Electronics|E-Commerce|, iPhone ,100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,51410000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|B2B|Enterprise Software|E-Commerce|, B2B ,7000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,200000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Customer Service|Retail|Online Shopping|, Online Shopping ,317000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,9900000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Marketplaces|E-Commerce|, E-Commerce ,550000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,1170000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|iPhone|Point of Sale|Enterprises|E-Commerce|, E-Commerce , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Restaurants|Technology|Franchises|E-Commerce|, Restaurants ,10025000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,37000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|Open Source|Senior Citizens|Computers|E-Commerce|, Health Care ,2091000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Shipping|E-Commerce|Software|, E-Commerce ,4000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Finance|E-Commerce|, Finance ,1398000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Sports|Mobile Payments|Mobile|, Sports ,200000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,24000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hardware + Software|, Hardware + Software ,463181 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,7000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,3710000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,50600000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Photography|Human Resources|Enterprise Software|, Enterprise Software , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|, Health and Wellness ,9854461 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Religion|Social Media|, Social Media ,30000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Life Sciences|Software|, Software ,10384999 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hospitality|, Hospitality , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Marketplaces|E-Commerce|, E-Commerce ,50000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,40000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hospitality|, Hospitality , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Consulting|, Consulting , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Organic Food|, Organic Food , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Search|Health Care Information Technology|Health and Wellness|, Health and Wellness ,3045000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Politics|Advertising|Mobile|, Mobile ,3900000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,26352435 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3528114 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,3315000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Curated Web|, Curated Web ,150000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Email|Curated Web|, Email , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Manufacturing|, Manufacturing ,1286600 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,26500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,50000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Renewable Energies|Environmental Innovation|Clean Technology|, Clean Technology ,55000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Education|, Education ,1000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Design|E-Commerce|, E-Commerce ,90000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,5809932 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,5400000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,5163408 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Analytics|, Analytics ,24300000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,5743342 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,52500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Video|Games|, Video , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|, Health and Wellness , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|, Health and Wellness ,137016455 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Media|Recruiting|Enterprise 2.0|Curated Web|, Social Media ,150000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hardware + Software|, Hardware + Software ,900000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|Manufacturing|, Clean Technology ,558101 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Reviews and Recommendations|Opinions|MicroBlogging|Social Media|Public Relations|, Opinions ,51464 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Medical|, Medical , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Medical|, Medical ,3000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,249990 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Infrastructure|IaaS|Cloud Computing|Web Hosting|, Cloud Computing , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Collaboration|Big Data|Content|Enterprise Search|Cloud Computing|Search|, Content ,4000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,8400000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Fashion|, Fashion ,12122011 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Medical|, Medical , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Semiconductors|Electronics|Material Science|, Material Science ,8906815 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Energy|Environmental Innovation|Infrastructure|Software|, Energy ,600000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care ,30000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8035277 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Media|, Social Media ,60000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Analytics|, Analytics ,1030000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,20000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,302500 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,1327498 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,1193787 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care ,18000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,3000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care ,24170000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1555000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,17818909 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,936000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|, Health and Wellness ,1600000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Medical|Manufacturing|, Medical ,25000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,2147092 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|, Health and Wellness ,5999000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care ,25000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hardware + Software|, Hardware + Software ,122000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care ,2202375 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,1600000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hardware + Software|, Hardware + Software ,14034692 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,109000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,5000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,46141000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,12551875 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,1327461 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8325000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care ,71988600 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,41346439 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|QR Codes|Android|iPhone|Mobile Payments|Mobile|, QR Codes ,80000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hardware + Software|, Hardware + Software ,1629549 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Fashion|, Fashion ,1695250 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Medical|Biotechnology|, Biotechnology ,17024700 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Enterprise Software|, Enterprise Software , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Image Recognition|iPad|Health Care|mHealth|, mHealth ,651386 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Insurance|Health and Wellness|, Insurance ,150000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Senior Citizens|Families|, Families ,50000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,1724199 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Technology|Gas|Natural Resources|Energy|Oil|, Oil ,50000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|News|, News ,1352569 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Manufacturing|, Manufacturing , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Analytics|, Analytics ,3500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,15000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Consulting|, Consulting , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Enterprise Software|, Enterprise Software ,139500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,1100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,5832500 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,5540000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13555000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Consumer Electronics|Entertainment|Kids|Games|, Kids ,14500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|Games|, Mobile ,100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|, Health and Wellness ,300000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Landsacping|Home & Garden|Local Businesses|, Local Businesses ,575000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Fashion|, Fashion ,2000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Finance|, Finance ,11216427 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Enterprise Software|Oil & Gas|Analytics|Oil|, Oil ,500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care ,14000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Medical|Biotechnology|, Medical ,11812744 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,2000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,2059161 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care ,16249935 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,3175000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,45681891 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hardware + Software|, Hardware + Software ,52710155 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|, Health and Wellness ,600000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
